feature,mean_accuracy,std_accuracy,n_runs
Pepsinogen II Level,1.0,0.0,3
Pepsinogen I Level,1.0,0.0,3
MALT Lymphoma Precancerous Conditions,1.0,0.0,3
Kimura Takemoto Classification,1.0,0.0,3
Life Expectancy,1.0,0.0,3
Gastric MALT Lymphoma,1.0,0.0,3
EGGIM Score,1.0,0.0,3
Vertical Margin Status,0.9666666666666667,0.05773502691896256,3
Horizontal Margin Status,0.9666666666666667,0.05773502691896256,3
Common Variable Immunodeficiency,0.9666666666666667,0.05773502691896256,3
Submucosal Invasion Depth,0.9333333333333332,0.05773502691896258,3
En bloc Resection Margins,0.9333333333333332,0.05773502691896258,3
Resection Curability,0.9333333333333332,0.05773502691896258,3
Lesion Paris Classification,0.9,0.09999999999999998,3
Indefinite for Dysplasia,0.8666666666666667,0.11547005383792512,3
Smoking Status,0.8333333333333334,0.1154700538379252,3
Differentiation Status,0.8333333333333334,0.1527525231651947,3
Patient Age,0.7999999999999999,0.10000000000000007,3
Lymphovascular Invasion,0.7666666666666666,0.1154700538379252,3
Dysplasia Grade,0.7666666666666666,0.23094010767585033,3
Submucosal Invasion,0.7666666666666666,0.1527525231651947,3
Dysplasia Visibility,0.7666666666666666,0.23094010767585033,3
Atrophic Gastritis,0.7333333333333334,0.05773502691896262,3
Neoplastic Lesion Ulceration,0.7333333333333334,0.11547005383792519,3
Dysplasia,0.7000000000000001,0.19999999999999998,3
Helicobacter pylori Status,0.7000000000000001,0.1,3
Lymph Node Metastasis Risk,0.6666666666666666,0.05773502691896255,3
Treatment Approach,0.6666666666666666,0.2516611478423584,3
Piecemeal Resection,0.6333333333333333,0.20816659994661324,3
Neoplastic Lesion Size,0.6333333333333333,0.11547005383792512,3
Family History,0.6333333333333333,0.1527525231651947,3
Neoplastic Lesion Visibility,0.6333333333333333,0.1527525231651947,3
Incomplete Intestinal Metaplasia,0.5666666666666668,0.20816659994661327,3
Hereditary Syndrome,0.5333333333333333,0.11547005383792512,3
OLGIM Stage,0.5,0.19999999999999998,3
Autoimmune Gastritis,0.4666666666666666,0.05773502691896256,3
OLGA Stage,0.43333333333333335,0.11547005383792516,3
Neoplastic Lesion,0.39999999999999997,0.10000000000000002,3
En bloc Resection,0.3,0.17320508075688773,3
